review,sentiment
This item delivers slightly brilliant speed and an overall brilliant user experience.,positive
This product has really amazing sound and shows amazing performance overall.,positive
This product works slightly average in terms of battery life and gives an overall average experience.,neutral
This product works extremely brilliant in terms of quality and gives an overall brilliant experience.,positive
The durability of this product is extremely smooth and the overall experience feels smooth.,positive
The performance of this product is slightly disappointing and the overall experience feels disappointing.,negative
"In terms of camera, this product performs very terrible and feels terrible overall.",negative
The performance of this product is really okay and the overall experience feels okay.,neutral
The build of this product is very average and the overall experience feels average.,neutral
This product has very slow speed and shows slow performance overall.,negative
This item delivers slightly acceptable sound and an overall acceptable user experience.,neutral
This product has extremely weak quality and shows weak performance overall.,negative
This item delivers really fair durability and an overall fair user experience.,neutral
This product behaves quite defective in terms of durability and gives an overall defective experience.,negative
This product works very wonderful in terms of sound and gives an overall wonderful experience.,positive
The product looks slightly frustrating with respect to durability and gives a frustrating experience.,negative
The product feels very bad with respect to performance and gives a bad experience.,negative
This product operates slightly fine in terms of durability and gives an overall fine experience.,neutral
This item delivers really decent battery life and an overall decent user experience.,neutral
The product works quite amazing with respect to camera and gives a amazing experience.,positive
This product feels really regular in terms of design and gives an overall regular experience.,neutral
This item delivers very fast performance and an overall fast user experience.,positive
The speed of this product is very disappointing and the overall experience feels disappointing.,negative
This product has extremely horrible durability and shows horrible performance overall.,negative
This item delivers really weak sound and an overall weak user experience.,negative
"In terms of speed, this product works slightly amazing and feels amazing overall.",positive
"In terms of design, this product works slightly cheap and feels cheap overall.",negative
The product performs very defective with respect to battery life and gives a defective experience.,negative
The product works extremely average with respect to durability and gives a average experience.,neutral
This item delivers slightly fantastic build and an overall fantastic user experience.,positive
This item delivers quite good speed and an overall good user experience.,positive
This product performs really terrible in terms of quality and gives an overall terrible experience.,negative
The durability of this product is very standard and the overall experience feels standard.,neutral
This product has really bad speed and shows bad performance overall.,negative
The product performs quite fine with respect to performance and gives a fine experience.,neutral
This item delivers extremely fine camera and an overall fine user experience.,neutral
The quality of this product is extremely reliable and the overall experience feels reliable.,positive
"In terms of display, this product feels quite regular and feels regular overall.",neutral
This product performs extremely reliable in terms of performance and gives an overall reliable experience.,positive
The product feels really great with respect to durability and gives a great experience.,positive
"In terms of quality, this product feels very acceptable and feels acceptable overall.",neutral
The product behaves very regular with respect to speed and gives a regular experience.,neutral
The sound of this product is really acceptable and the overall experience feels acceptable.,neutral
The product works extremely horrible with respect to performance and gives a horrible experience.,negative
The quality of this product is slightly useless and the overall experience feels useless.,negative
"In terms of speed, this product looks quite good and feels good overall.",positive
The product feels slightly terrible with respect to performance and gives a terrible experience.,negative
This product feels extremely reliable in terms of performance and gives an overall reliable experience.,positive
This product feels quite perfect in terms of durability and gives an overall perfect experience.,positive
This product has slightly okay battery life and shows okay performance overall.,neutral
"In terms of performance, this product works quite fast and feels fast overall.",positive
The design of this product is extremely smooth and the overall experience feels smooth.,positive
The product behaves very fantastic with respect to display and gives a fantastic experience.,positive
This product looks slightly normal in terms of durability and gives an overall normal experience.,neutral
This item delivers very awesome camera and an overall awesome user experience.,positive
This item delivers extremely brilliant display and an overall brilliant user experience.,positive
This item delivers slightly reliable design and an overall reliable user experience.,positive
This product has extremely horrible speed and shows horrible performance overall.,negative
This product has quite average durability and shows average performance overall.,neutral
The product operates quite slow with respect to quality and gives a slow experience.,negative
The product feels very fantastic with respect to battery life and gives a fantastic experience.,positive
The product behaves very normal with respect to sound and gives a normal experience.,neutral
This product works quite good in terms of camera and gives an overall good experience.,positive
This product has very awesome design and shows awesome performance overall.,positive
This product works really wonderful in terms of design and gives an overall wonderful experience.,positive
The build of this product is very great and the overall experience feels great.,positive
"In terms of camera, this product behaves extremely decent and feels decent overall.",neutral
The product feels really smooth with respect to camera and gives a smooth experience.,positive
This product has really moderate battery life and shows moderate performance overall.,neutral
This product has extremely moderate build and shows moderate performance overall.,neutral
This item delivers really terrible sound and an overall terrible user experience.,negative
This product has really fair display and shows fair performance overall.,neutral
This item delivers slightly awful display and an overall awful user experience.,negative
This product operates quite fast in terms of durability and gives an overall fast experience.,positive
This product has very fantastic battery life and shows fantastic performance overall.,positive
This product feels extremely weak in terms of design and gives an overall weak experience.,negative
The product feels slightly perfect with respect to design and gives a perfect experience.,positive
The design of this product is slightly excellent and the overall experience feels excellent.,positive
This product works really terrible in terms of battery life and gives an overall terrible experience.,negative
This product works really good in terms of build and gives an overall good experience.,positive
This product performs extremely weak in terms of battery life and gives an overall weak experience.,negative
The product feels quite decent with respect to quality and gives a decent experience.,neutral
This product has quite wonderful performance and shows wonderful performance overall.,positive
This item delivers extremely brilliant build and an overall brilliant user experience.,positive
"In terms of sound, this product operates really great and feels great overall.",positive
This product has slightly bad quality and shows bad performance overall.,negative
The product performs extremely fair with respect to durability and gives a fair experience.,neutral
The durability of this product is really disappointing and the overall experience feels disappointing.,negative
The product operates slightly smooth with respect to durability and gives a smooth experience.,positive
This product looks very perfect in terms of build and gives an overall perfect experience.,positive
The product looks extremely acceptable with respect to design and gives a acceptable experience.,neutral
This product has extremely brilliant performance and shows brilliant performance overall.,positive
This product operates quite bad in terms of quality and gives an overall bad experience.,negative
The durability of this product is really regular and the overall experience feels regular.,neutral
This item delivers really acceptable durability and an overall acceptable user experience.,neutral
The product performs quite wonderful with respect to durability and gives a wonderful experience.,positive
This product has quite normal performance and shows normal performance overall.,neutral
"In terms of camera, this product performs slightly moderate and feels moderate overall.",neutral
This product has very average speed and shows average performance overall.,neutral
This item delivers extremely regular build and an overall regular user experience.,neutral
The speed of this product is quite bad and the overall experience feels bad.,negative
This item delivers quite amazing camera and an overall amazing user experience.,positive
This product has extremely amazing quality and shows amazing performance overall.,positive
The build of this product is extremely fair and the overall experience feels fair.,neutral
The durability of this product is quite awful and the overall experience feels awful.,negative
The sound of this product is extremely okay and the overall experience feels okay.,neutral
"In terms of performance, this product looks really fantastic and feels fantastic overall.",positive
The product looks really awful with respect to sound and gives a awful experience.,negative
This product operates very awesome in terms of performance and gives an overall awesome experience.,positive
The display of this product is really defective and the overall experience feels defective.,negative
The design of this product is very wonderful and the overall experience feels wonderful.,positive
This item delivers slightly slow quality and an overall slow user experience.,negative
"In terms of performance, this product performs slightly moderate and feels moderate overall.",neutral
This product operates really acceptable in terms of design and gives an overall acceptable experience.,neutral
This item delivers quite regular sound and an overall regular user experience.,neutral
This product performs slightly weak in terms of battery life and gives an overall weak experience.,negative
The product works extremely fast with respect to speed and gives a fast experience.,positive
This product has very poor camera and shows poor performance overall.,negative
This item delivers quite great quality and an overall great user experience.,positive
The design of this product is very acceptable and the overall experience feels acceptable.,neutral
This product has quite normal speed and shows normal performance overall.,neutral
This product looks quite average in terms of speed and gives an overall average experience.,neutral
"In terms of speed, this product looks extremely terrible and feels terrible overall.",negative
The product feels slightly reliable with respect to sound and gives a reliable experience.,positive
This product works extremely smooth in terms of battery life and gives an overall smooth experience.,positive
The display of this product is very bad and the overall experience feels bad.,negative
The camera of this product is slightly fast and the overall experience feels fast.,positive
"In terms of sound, this product operates very good and feels good overall.",positive
This product has slightly cheap speed and shows cheap performance overall.,negative
The product behaves really standard with respect to battery life and gives a standard experience.,neutral
The camera of this product is quite standard and the overall experience feels standard.,neutral
The performance of this product is quite wonderful and the overall experience feels wonderful.,positive
The product feels very good with respect to speed and gives a good experience.,positive
"In terms of build, this product feels very awesome and feels awesome overall.",positive
This product has extremely bad design and shows bad performance overall.,negative
The product feels extremely useless with respect to battery life and gives a useless experience.,negative
This item delivers very brilliant performance and an overall brilliant user experience.,positive
This item delivers slightly bad battery life and an overall bad user experience.,negative
"In terms of speed, this product operates very moderate and feels moderate overall.",neutral
The product performs extremely great with respect to battery life and gives a great experience.,positive
The performance of this product is extremely perfect and the overall experience feels perfect.,positive
The product looks extremely awful with respect to camera and gives a awful experience.,negative
This product looks extremely brilliant in terms of design and gives an overall brilliant experience.,positive
This item delivers quite fine battery life and an overall fine user experience.,neutral
This item delivers extremely frustrating performance and an overall frustrating user experience.,negative
The durability of this product is very smooth and the overall experience feels smooth.,positive
"In terms of display, this product feels quite acceptable and feels acceptable overall.",neutral
The sound of this product is slightly frustrating and the overall experience feels frustrating.,negative
The build of this product is quite awesome and the overall experience feels awesome.,positive
This item delivers extremely frustrating speed and an overall frustrating user experience.,negative
"In terms of performance, this product looks really fair and feels fair overall.",neutral
This product works very moderate in terms of durability and gives an overall moderate experience.,neutral
This item delivers quite good display and an overall good user experience.,positive
This product behaves really fantastic in terms of quality and gives an overall fantastic experience.,positive
This product has extremely frustrating camera and shows frustrating performance overall.,negative
This product operates very fair in terms of speed and gives an overall fair experience.,neutral
This item delivers really great display and an overall great user experience.,positive
This product has slightly normal performance and shows normal performance overall.,neutral
This item delivers really decent build and an overall decent user experience.,neutral
This product has really average performance and shows average performance overall.,neutral
This product has quite disappointing performance and shows disappointing performance overall.,negative
This product has quite smooth battery life and shows smooth performance overall.,positive
The product behaves quite amazing with respect to build and gives a amazing experience.,positive
The speed of this product is extremely bad and the overall experience feels bad.,negative
The quality of this product is very poor and the overall experience feels poor.,negative
This product performs really cheap in terms of speed and gives an overall cheap experience.,negative
The sound of this product is quite awful and the overall experience feels awful.,negative
"In terms of durability, this product looks very moderate and feels moderate overall.",neutral
The product operates quite average with respect to performance and gives a average experience.,neutral
"In terms of performance, this product feels extremely normal and feels normal overall.",neutral
The performance of this product is really wonderful and the overall experience feels wonderful.,positive
The product feels slightly fantastic with respect to speed and gives a fantastic experience.,positive
"In terms of battery life, this product looks slightly fast and feels fast overall.",positive
"In terms of battery life, this product behaves slightly reliable and feels reliable overall.",positive
This item delivers quite perfect design and an overall perfect user experience.,positive
This product has really defective speed and shows defective performance overall.,negative
This item delivers really standard camera and an overall standard user experience.,neutral
"In terms of design, this product feels really terrible and feels terrible overall.",negative
The product feels very fair with respect to camera and gives a fair experience.,neutral
The product feels quite regular with respect to speed and gives a regular experience.,neutral
The speed of this product is really smooth and the overall experience feels smooth.,positive
The product looks quite normal with respect to performance and gives a normal experience.,neutral
"In terms of sound, this product performs extremely bad and feels bad overall.",negative
The battery life of this product is really bad and the overall experience feels bad.,negative
"In terms of durability, this product operates very fair and feels fair overall.",neutral
This product looks quite useless in terms of sound and gives an overall useless experience.,negative
The product operates really brilliant with respect to performance and gives a brilliant experience.,positive
This product behaves extremely useless in terms of quality and gives an overall useless experience.,negative
This item delivers slightly terrible design and an overall terrible user experience.,negative
The product looks very normal with respect to battery life and gives a normal experience.,neutral
This product looks extremely fine in terms of design and gives an overall fine experience.,neutral
This item delivers extremely fast speed and an overall fast user experience.,positive
This product has extremely great speed and shows great performance overall.,positive
This product has really acceptable design and shows acceptable performance overall.,neutral
This product works really awesome in terms of display and gives an overall awesome experience.,positive
This product looks very okay in terms of speed and gives an overall okay experience.,neutral
The display of this product is slightly wonderful and the overall experience feels wonderful.,positive
"In terms of display, this product behaves extremely weak and feels weak overall.",negative
The performance of this product is slightly amazing and the overall experience feels amazing.,positive
This item delivers slightly fine sound and an overall fine user experience.,neutral
This item delivers slightly regular design and an overall regular user experience.,neutral
This item delivers quite amazing sound and an overall amazing user experience.,positive
"In terms of quality, this product looks extremely excellent and feels excellent overall.",positive
This item delivers really okay performance and an overall okay user experience.,neutral
The display of this product is very wonderful and the overall experience feels wonderful.,positive
This item delivers quite amazing performance and an overall amazing user experience.,positive
This item delivers slightly awesome speed and an overall awesome user experience.,positive
This product behaves really cheap in terms of quality and gives an overall cheap experience.,negative
This product has quite regular camera and shows regular performance overall.,neutral
The product operates very excellent with respect to sound and gives a excellent experience.,positive
This product operates slightly normal in terms of sound and gives an overall normal experience.,neutral
The design of this product is quite regular and the overall experience feels regular.,neutral
The product performs slightly average with respect to quality and gives a average experience.,neutral
The product operates extremely okay with respect to sound and gives a okay experience.,neutral
"In terms of design, this product behaves slightly standard and feels standard overall.",neutral
This item delivers quite terrible speed and an overall terrible user experience.,negative
The product performs very acceptable with respect to sound and gives a acceptable experience.,neutral
This product has slightly useless camera and shows useless performance overall.,negative
This product has slightly brilliant durability and shows brilliant performance overall.,positive
This product works extremely decent in terms of sound and gives an overall decent experience.,neutral
"In terms of design, this product works slightly normal and feels normal overall.",neutral
This item delivers extremely regular camera and an overall regular user experience.,neutral
The performance of this product is slightly regular and the overall experience feels regular.,neutral
The performance of this product is very average and the overall experience feels average.,neutral
The product operates extremely frustrating with respect to design and gives a frustrating experience.,negative
This product has slightly okay speed and shows okay performance overall.,neutral
The design of this product is extremely wonderful and the overall experience feels wonderful.,positive
This item delivers quite awesome speed and an overall awesome user experience.,positive
"In terms of design, this product looks quite useless and feels useless overall.",negative
"In terms of design, this product operates slightly horrible and feels horrible overall.",negative
This item delivers slightly standard quality and an overall standard user experience.,neutral
"In terms of design, this product behaves really regular and feels regular overall.",neutral
This product feels really great in terms of speed and gives an overall great experience.,positive
"In terms of performance, this product feels extremely smooth and feels smooth overall.",positive
This product works very terrible in terms of sound and gives an overall terrible experience.,negative
The product operates very acceptable with respect to display and gives a acceptable experience.,neutral
This product performs very fair in terms of battery life and gives an overall fair experience.,neutral
This product performs slightly weak in terms of speed and gives an overall weak experience.,negative
This product has extremely amazing display and shows amazing performance overall.,positive
This item delivers slightly acceptable build and an overall acceptable user experience.,neutral
"In terms of design, this product feels slightly fast and feels fast overall.",positive
The product behaves very reliable with respect to build and gives a reliable experience.,positive
This product has very normal design and shows normal performance overall.,neutral
The quality of this product is slightly cheap and the overall experience feels cheap.,negative
The product behaves really normal with respect to sound and gives a normal experience.,neutral
This product operates extremely regular in terms of speed and gives an overall regular experience.,neutral
This product performs very normal in terms of battery life and gives an overall normal experience.,neutral
The product operates extremely amazing with respect to display and gives a amazing experience.,positive
This product performs very defective in terms of sound and gives an overall defective experience.,negative
The quality of this product is extremely fine and the overall experience feels fine.,neutral
The product works really smooth with respect to sound and gives a smooth experience.,positive
"In terms of build, this product behaves very perfect and feels perfect overall.",positive
This product has quite horrible durability and shows horrible performance overall.,negative
The quality of this product is very fast and the overall experience feels fast.,positive
This product has really fine camera and shows fine performance overall.,neutral
This product has quite defective display and shows defective performance overall.,negative
"In terms of display, this product operates slightly fair and feels fair overall.",neutral
This product looks quite excellent in terms of design and gives an overall excellent experience.,positive
This product looks quite smooth in terms of performance and gives an overall smooth experience.,positive
This item delivers really reliable build and an overall reliable user experience.,positive
This product has very good design and shows good performance overall.,positive
This product has very excellent camera and shows excellent performance overall.,positive
"In terms of battery life, this product behaves really awesome and feels awesome overall.",positive
"In terms of sound, this product looks really average and feels average overall.",neutral
The product behaves slightly excellent with respect to camera and gives a excellent experience.,positive
This product operates extremely terrible in terms of sound and gives an overall terrible experience.,negative
This item delivers really smooth design and an overall smooth user experience.,positive
The durability of this product is extremely awful and the overall experience feels awful.,negative
"In terms of display, this product behaves quite normal and feels normal overall.",neutral
This product behaves very moderate in terms of display and gives an overall moderate experience.,neutral
This item delivers slightly okay performance and an overall okay user experience.,neutral
"In terms of speed, this product performs slightly acceptable and feels acceptable overall.",neutral
The product behaves extremely good with respect to camera and gives a good experience.,positive
"In terms of design, this product performs slightly cheap and feels cheap overall.",negative
This product operates quite average in terms of build and gives an overall average experience.,neutral
This product has very acceptable camera and shows acceptable performance overall.,neutral
This product has slightly fair quality and shows fair performance overall.,neutral
The quality of this product is really frustrating and the overall experience feels frustrating.,negative
This item delivers slightly standard sound and an overall standard user experience.,neutral
This product has slightly regular battery life and shows regular performance overall.,neutral
The design of this product is quite fair and the overall experience feels fair.,neutral
This product has really good design and shows good performance overall.,positive
This item delivers slightly good durability and an overall good user experience.,positive
This product has very awesome display and shows awesome performance overall.,positive
"In terms of design, this product performs extremely great and feels great overall.",positive
"In terms of build, this product works extremely weak and feels weak overall.",negative
This item delivers extremely awful design and an overall awful user experience.,negative
The product looks slightly okay with respect to durability and gives a okay experience.,neutral
"In terms of durability, this product looks slightly fair and feels fair overall.",neutral
The design of this product is extremely fantastic and the overall experience feels fantastic.,positive
This item delivers very weak durability and an overall weak user experience.,negative
"In terms of durability, this product looks extremely good and feels good overall.",positive
The product operates extremely average with respect to camera and gives a average experience.,neutral
The quality of this product is slightly poor and the overall experience feels poor.,negative
The product performs very horrible with respect to speed and gives a horrible experience.,negative
This item delivers really great design and an overall great user experience.,positive
The product works quite disappointing with respect to performance and gives a disappointing experience.,negative
This item delivers really standard battery life and an overall standard user experience.,neutral
The durability of this product is quite amazing and the overall experience feels amazing.,positive
The sound of this product is extremely smooth and the overall experience feels smooth.,positive
This product operates really smooth in terms of design and gives an overall smooth experience.,positive
"In terms of camera, this product performs very horrible and feels horrible overall.",negative
The product performs extremely amazing with respect to build and gives a amazing experience.,positive
The performance of this product is extremely defective and the overall experience feels defective.,negative
"In terms of camera, this product performs quite disappointing and feels disappointing overall.",negative
This product performs slightly fair in terms of durability and gives an overall fair experience.,neutral
This item delivers slightly excellent speed and an overall excellent user experience.,positive
The display of this product is quite useless and the overall experience feels useless.,negative
This product feels extremely excellent in terms of performance and gives an overall excellent experience.,positive
"In terms of durability, this product works very defective and feels defective overall.",negative
"In terms of build, this product works really defective and feels defective overall.",negative
This item delivers quite amazing build and an overall amazing user experience.,positive
The product looks very average with respect to display and gives a average experience.,neutral
The product works quite wonderful with respect to battery life and gives a wonderful experience.,positive
"In terms of speed, this product looks quite awful and feels awful overall.",negative
The product operates slightly great with respect to build and gives a great experience.,positive
This item delivers really great battery life and an overall great user experience.,positive
"In terms of speed, this product behaves slightly average and feels average overall.",neutral
This product has really moderate quality and shows moderate performance overall.,neutral
"In terms of design, this product feels extremely smooth and feels smooth overall.",positive
This product has quite fast sound and shows fast performance overall.,positive
The product feels slightly awful with respect to speed and gives a awful experience.,negative
The quality of this product is slightly awful and the overall experience feels awful.,negative
This item delivers quite standard camera and an overall standard user experience.,neutral
This product operates really bad in terms of battery life and gives an overall bad experience.,negative
"In terms of quality, this product looks extremely amazing and feels amazing overall.",positive
This item delivers very bad design and an overall bad user experience.,negative
The performance of this product is extremely decent and the overall experience feels decent.,neutral
This product works really standard in terms of performance and gives an overall standard experience.,neutral
"In terms of battery life, this product performs slightly standard and feels standard overall.",neutral
The battery life of this product is quite moderate and the overall experience feels moderate.,neutral
The display of this product is really cheap and the overall experience feels cheap.,negative
The quality of this product is extremely regular and the overall experience feels regular.,neutral
The product performs slightly okay with respect to design and gives a okay experience.,neutral
The build of this product is very perfect and the overall experience feels perfect.,positive
